team,match_id,date,h_a,opponent_team,total_xG,avg_shot_xG,shot_count,goals,opponent_xG,opponent_shots,opponent_goals,rolling_xG,rolling_shots,rolling_avg_shot_xG,rolling_conversion,rolling_shots_conceded,rolling_goals_conceded,rolling_opponent_conversion_rate
Arsenal,26892,2025-04-01 19:45:00,h,Fulham,2.449328625,0.14407815441176472,17,2,1.4420641029999999,9,1,1.539336134,15.6,0.09904299552176471,0.1282051282051282,37.0,5.0,0.13513513513513514
Aston Villa,26902,2025-04-05 16:30:00,h,Nottingham Forest,2.633489044,0.15491112023529413,17,2,0.967690037,19,1,2.0430803246,15.4,0.13562521299670963,0.1038961038961039,69.0,6.0,0.08695652173913043
Bournemouth,26896,2025-04-02 19:45:00,h,Ipswich,2.048369946,0.08534874775000001,24,1,1.4126271830000001,10,2,1.441826062,15.8,0.09241558079107144,0.0759493670886076,71.0,7.0,0.09859154929577464
Brentford,26903,2025-04-06 13:00:00,h,Chelsea,1.361233677,0.15124818633333334,9,0,1.482681612,21,0,1.3199430988,13.2,0.10661969837206127,0.015151515151515152,97.0,5.0,0.05154639175257732
Brighton,26893,2025-04-02 19:45:00,h,Aston Villa,0.562074902,0.051097718363636364,11,0,1.207145178,8,3,1.5599475872,12.0,0.14022362856142193,0.11666666666666667,44.0,6.0,0.13636363636363635
Burnley,22268,2024-05-19 15:00:00,h,Nottingham Forest,1.085,0.05425,20,1,1.582,12,2,1.6096,15.8,0.10593061840120663,0.0759493670886076,72.0,8.0,0.1111111111111111
Chelsea,26897,2025-04-03 19:00:00,h,Tottenham,1.304425556,0.11858414145454545,11,1,1.4038742770000001,8,0,2.1374852588000004,18.2,0.11952176112832535,0.10989010989010989,42.0,2.0,0.047619047619047616
Crystal Palace,26904,2025-04-05 14:00:00,h,Brighton,0.44396494200000003,0.055495617750000004,8,2,1.2755159909999998,11,1,2.3085986574,15.8,0.13321841868037929,0.11392405063291139,56.0,6.0,0.10714285714285714
Everton,26905,2025-04-05 11:30:00,h,Arsenal,1.2287457620000002,0.24574915240000003,5,1,1.438056356,14,1,1.7090637942,10.0,0.18030422432478635,0.2,47.0,6.0,0.1276595744680851
Fulham,26906,2025-04-06 13:00:00,h,Liverpool,1.751526029,0.14596050241666667,12,3,1.4072863379999998,14,2,1.16344877,13.8,0.0804968652762432,0.10144927536231885,48.0,5.0,0.10416666666666667
Ipswich,26907,2025-04-05 14:00:00,h,Wolverhampton Wanderers,0.872355596,0.14539259933333334,6,1,2.810680309,22,2,1.0601956876,11.4,0.0981091257469073,0.08771929824561403,69.0,18.0,0.2608695652173913
Leicester,26908,2025-04-07 19:00:00,h,Newcastle United,0.35457457400000003,0.05065351057142858,7,0,3.606873945,16,3,0.6599123282,8.0,0.07678781123928571,0.0,76.0,14.0,0.18421052631578946
Liverpool,26901,2025-04-02 20:00:00,h,Everton,1.297175277,0.07630442805882354,17,1,0.823135682,5,0,2.390316274,16.6,0.1409078997279552,0.14457831325301204,33.0,3.0,0.09090909090909091
Luton,22272,2024-05-19 15:00:00,h,Fulham,2.067,0.1378,15,2,1.117,15,4,1.136,13.6,0.085606783625731,0.10294117647058823,70.0,12.0,0.17142857142857143
Manchester City,26898,2025-04-02 19:45:00,h,Leicester,2.072881657,0.11516009205555555,18,2,0.10474096899999999,2,0,1.7222500539999999,14.4,0.12734889045686867,0.1527777777777778,38.0,4.0,0.10526315789473684
Manchester United,26877,2025-03-09 16:30:00,h,Arsenal,1.311066868,0.13110668679999998,10,1,1.870185673,17,1,1.7714398142,14.2,0.12823939306911764,0.09859154929577464,60.0,8.0,0.13333333333333333
Newcastle United,26899,2025-04-02 19:45:00,h,Brentford,2.266559972,0.10793142723809523,21,2,1.536313712,12,1,1.9954959076,15.0,0.13592618058361244,0.14666666666666667,76.0,10.0,0.13157894736842105
Nottingham Forest,26894,2025-04-01 20:00:00,h,Manchester United,0.515032648,0.064379081,8,1,1.886975204,23,0,1.7620197491999998,10.2,0.14504456011904762,0.21568627450980393,71.0,2.0,0.028169014084507043
Sheffield United,22274,2024-05-19 15:00:00,h,Tottenham,0.6970000000000001,0.11616666666666668,6,0,3.1990000000000003,18,3,1.7402000000000002,12.0,0.15094487522281638,0.11666666666666667,79.0,15.0,0.189873417721519
Southampton,26900,2025-04-02 19:45:00,h,Crystal Palace,0.687303705,0.085912963125,8,1,0.937760358,9,1,0.7922209646,9.4,0.0801892255159091,0.0851063829787234,63.0,13.0,0.20634920634920634
Tottenham,26879,2025-03-09 14:00:00,h,Bournemouth,1.3505280100000001,0.11254400083333334,12,2,2.248051786,17,2,1.3945072632,14.4,0.09831107065268066,0.06944444444444445,71.0,7.0,0.09859154929577464
West Ham,26880,2025-03-10 20:00:00,h,Newcastle United,0.823986415,0.09155404611111112,9,0,1.6322544680000002,9,1,0.9455178357999999,8.2,0.13364780355876069,0.0975609756097561,67.0,6.0,0.08955223880597014
Wolverhampton Wanderers,26895,2025-04-01 19:45:00,h,West Ham,1.103585132,0.12262057022222222,9,1,1.741020099,10,0,1.0833544378000002,11.0,0.11243763772323231,0.09090909090909091,52.0,4.0,0.07692307692307693
